Project,Tract Count,wtd_14_Total_wtd,wtd_14_Total:Owner-occupied housing units,"wtd_14_Total:Owner-occupied housing units:Less than $20,000","wtd_14_Total:Owner-occupied housing units:Less than $20,000:Less than 20 percent","wtd_14_Total:Owner-occupied housing units:Less than $20,000:20 to 29 percent","wtd_14_Total:Owner-occupied housing units:Less than $20,000:30 percent or more","wtd_14_Total:Owner-occupied housing units:$20,000 to $34,999","wtd_14_Total:Owner-occupied housing units:$20,000 to $34,999:Less than 20 percent","wtd_14_Total:Owner-occupied housing units:$20,000 to $34,999:20 to 29 percent","wtd_14_Total:Owner-occupied housing units:$20,000 to $34,999:30 percent or more","wtd_14_Total:Owner-occupied housing units:$35,000 to $49,999","wtd_14_Total:Owner-occupied housing units:$35,000 to $49,999:Less than 20 percent","wtd_14_Total:Owner-occupied housing units:$35,000 to $49,999:20 to 29 percent","wtd_14_Total:Owner-occupied housing units:$35,000 to $49,999:30 percent or more","wtd_14_Total:Owner-occupied housing units:$50,000 to $74,999","wtd_14_Total:Owner-occupied housing units:$50,000 to $74,999:Less than 20 percent","wtd_14_Total:Owner-occupied housing units:$50,000 to $74,999:20 to 29 percent","wtd_14_Total:Owner-occupied housing units:$50,000 to $74,999:30 percent or more","wtd_14_Total:Owner-occupied housing units:$75,000 or more","wtd_14_Total:Owner-occupied housing units:$75,000 or more:Less than 20 percent","wtd_14_Total:Owner-occupied housing units:$75,000 or more:20 to 29 percent","wtd_14_Total:Owner-occupied housing units:$75,000 or more:30 percent or more",wtd_14_Total:Owner-occupied housing units:Zero or negative income,wtd_14_Total:Renter-occupied housing units,"wtd_14_Total:Renter-occupied housing units:Less than $20,000","wtd_14_Total:Renter-occupied housing units:Less than $20,000:Less than 20 percent","wtd_14_Total:Renter-occupied housing units:Less than $20,000:20 to 29 percent","wtd_14_Total:Renter-occupied housing units:Less than $20,000:30 percent or more","wtd_14_Total:Renter-occupied housing units:$20,000 to $34,999","wtd_14_Total:Renter-occupied housing units:$20,000 to $34,999:Less than 20 percent","wtd_14_Total:Renter-occupied housing units:$20,000 to $34,999:20 to 29 percent","wtd_14_Total:Renter-occupied housing units:$20,000 to $34,999:30 percent or more","wtd_14_Total:Renter-occupied housing units:$35,000 to $49,999","wtd_14_Total:Renter-occupied housing units:$35,000 to $49,999:Less than 20 percent","wtd_14_Total:Renter-occupied housing units:$35,000 to $49,999:20 to 29 percent","wtd_14_Total:Renter-occupied housing units:$35,000 to $49,999:30 percent or more","wtd_14_Total:Renter-occupied housing units:$50,000 to $74,999","wtd_14_Total:Renter-occupied housing units:$50,000 to $74,999:Less than 20 percent","wtd_14_Total:Renter-occupied housing units:$50,000 to $74,999:20 to 29 percent","wtd_14_Total:Renter-occupied housing units:$50,000 to $74,999:30 percent or more","wtd_14_Total:Renter-occupied housing units:$75,000 or more","wtd_14_Total:Renter-occupied housing units:$75,000 or more:Less than 20 percent","wtd_14_Total:Renter-occupied housing units:$75,000 or more:20 to 29 percent","wtd_14_Total:Renter-occupied housing units:$75,000 or more:30 percent or more",wtd_14_Total:Renter-occupied housing units:Zero or negative income,wtd_14_Total:Renter-occupied housing units:No cash rent,wtd_19_Total,wtd_19_Total: Owner-occupied housing units:,"wtd_19_Total: Owner-occupied housing units: Less than $20,000:","wtd_19_Total: Owner-occupied housing units: Less than $20,000: Less than 20 percent","wtd_19_Total: Owner-occupied housing units: Less than $20,000: 20 to 29 percent","wtd_19_Total: Owner-occupied housing units: Less than $20,000: 30 percent or more","wtd_19_Total: Owner-occupied housing units: $20,000 to $34,999:","wtd_19_Total: Owner-occupied housing units: $20,000 to $34,999: Less than 20 percent","wtd_19_Total: Owner-occupied housing units: $20,000 to $34,999: 20 to 29 percent","wtd_19_Total: Owner-occupied housing units: $20,000 to $34,999: 30 percent or more","wtd_19_Total: Owner-occupied housing units: $35,000 to $49,999:","wtd_19_Total: Owner-occupied housing units: $35,000 to $49,999: Less than 20 percent","wtd_19_Total: Owner-occupied housing units: $35,000 to $49,999: 20 to 29 percent","wtd_19_Total: Owner-occupied housing units: $35,000 to $49,999: 30 percent or more","wtd_19_Total: Owner-occupied housing units: $50,000 to $74,999:","wtd_19_Total: Owner-occupied housing units: $50,000 to $74,999: Less than 20 percent","wtd_19_Total: Owner-occupied housing units: $50,000 to $74,999: 20 to 29 percent","wtd_19_Total: Owner-occupied housing units: $50,000 to $74,999: 30 percent or more","wtd_19_Total: Owner-occupied housing units: $75,000 or more:","wtd_19_Total: Owner-occupied housing units: $75,000 or more: Less than 20 percent","wtd_19_Total: Owner-occupied housing units: $75,000 or more: 20 to 29 percent","wtd_19_Total: Owner-occupied housing units: $75,000 or more: 30 percent or more",wtd_19_Total: Owner-occupied housing units: Zero or negative income,wtd_19_Total: Renter-occupied housing units:,"wtd_19_Total: Renter-occupied housing units: Less than $20,000:","wtd_19_Total: Renter-occupied housing units: Less than $20,000: Less than 20 percent","wtd_19_Total: Renter-occupied housing units: Less than $20,000: 20 to 29 percent","wtd_19_Total: Renter-occupied housing units: Less than $20,000: 30 percent or more","wtd_19_Total: Renter-occupied housing units: $20,000 to $34,999:","wtd_19_Total: Renter-occupied housing units: $20,000 to $34,999: Less than 20 percent","wtd_19_Total: Renter-occupied housing units: $20,000 to $34,999: 20 to 29 percent","wtd_19_Total: Renter-occupied housing units: $20,000 to $34,999: 30 percent or more","wtd_19_Total: Renter-occupied housing units: $35,000 to $49,999:","wtd_19_Total: Renter-occupied housing units: $35,000 to $49,999: Less than 20 percent","wtd_19_Total: Renter-occupied housing units: $35,000 to $49,999: 20 to 29 percent","wtd_19_Total: Renter-occupied housing units: $35,000 to $49,999: 30 percent or more","wtd_19_Total: Renter-occupied housing units: $50,000 to $74,999:","wtd_19_Total: Renter-occupied housing units: $50,000 to $74,999: Less than 20 percent","wtd_19_Total: Renter-occupied housing units: $50,000 to $74,999: 20 to 29 percent","wtd_19_Total: Renter-occupied housing units: $50,000 to $74,999: 30 percent or more","wtd_19_Total: Renter-occupied housing units: $75,000 or more:","wtd_19_Total: Renter-occupied housing units: $75,000 or more: Less than 20 percent","wtd_19_Total: Renter-occupied housing units: $75,000 or more: 20 to 29 percent","wtd_19_Total: Renter-occupied housing units: $75,000 or more: 30 percent or more",wtd_19_Total: Renter-occupied housing units: Zero or negative income,wtd_19_Total: Renter-occupied housing units: No cash rent
"225 Centre Street- Jackson Sq Station, Roxbury",10,9964.41,2817.26,233.82,38.2,0,195.62,195.14,8.96,36.3,149.88,363.24,50.37,35.06,277.81,392.53,74.86,60.66,257.02,1629.21,930.86,535.67,162.68,3.31,7147.15,2405.88,183.73,385.59,1836.55,1088.5,118.97,233.67,735.86,829.58,122.46,174.08,533.04,899.04,194.94,242.77,461.33,1716.26,958.61,560.78,196.88,186.97,20.91,10766.16,3031.22,117.48,0,11.95,105.53,143.08,16.76,20.77,105.55,207.46,50.66,3.3,153.49,475.26,139.77,81.19,254.31,2071.67,1199.61,633.38,238.68,16.25,7734.94,2024.01,89.44,348.79,1585.78,1057.42,212.32,93.16,751.93,906.53,145.67,199.98,560.88,945.48,170.13,238.87,536.48,2421.42,1026.18,995.52,399.71,323.83,56.26
"75 Amory Ave- Jackson Sq Station, Jamaica Plain",10,9627.92,3387.32,240.56,32.2,2.07,206.29,202.27,8.96,38.37,154.94,441.78,74.59,46.74,320.44,471.32,92.18,91.51,287.63,2027.62,1096.9,678.02,252.71,3.76,6240.61,2196.93,172.8,315.81,1708.33,882.57,101.42,223.79,557.37,650.4,75.93,138.72,435.75,750.52,193.78,262.08,294.67,1596.97,911.96,503.94,181.07,142.43,20.78,10522.84,3609.63,140.16,0,11.95,128.2,167.74,16.76,20.77,130.2,219.23,57.78,3.3,158.15,487.69,121.6,89.26,276.83,2577.45,1567.18,704.14,306.13,17.38,6913.21,1935.81,89.44,360.24,1486.12,997.08,211.04,76.13,709.9,721.41,136.93,156.78,427.7,717.48,129.03,176.01,412.44,2215.21,1058.72,842.2,314.29,269.5,56.73
"Arborpoint at Woodland Station, Newton",3,951.48,695.6,11.44,0,0,11.44,27.05,2.21,0,24.84,17.11,1.97,5.86,9.29,49.47,7.55,15.57,26.35,587.72,396.86,140.57,50.29,2.82,255.87,70.78,2.05,22.82,45.91,43.69,4.99,7.1,31.6,20.25,0,1.79,18.45,19.92,7.33,5.17,7.42,76.82,57.04,13.71,6.06,0,24.42,938.49,725.38,7.06,0,0,7.06,19.99,2.46,0,17.53,19.91,0,0,19.91,42.48,5.66,15.76,21.07,633.48,399.21,149.0,85.27,2.46,213.11,38.43,0,11.69,26.73,29.16,4.43,0,24.74,15.8,2.69,0,13.11,27.23,5.66,1.72,19.85,79.62,39.34,26.58,13.7,2.46,20.41
"Assembly Row- Assembly Station, Somerville",2,326.22,155.57,7.08,0.88,0,6.2,8.46,2.53,0,5.93,10.4,0,1.82,8.57,21.87,8.78,3.49,9.6,107.76,66.32,30.02,11.42,0,170.65,51.86,1.54,14.08,36.24,12.96,0,1.1,11.86,13.11,3.81,0,9.3,35.11,5.42,17.73,11.96,57.61,40.0,15.23,2.38,0,0,360.27,169.0,4.48,0,0,4.48,3.7,0,1.43,2.27,4.73,0,0.55,4.18,12.41,3.19,6.36,2.86,142.61,86.26,41.92,14.43,1.07,191.27,13.2,0.77,2.64,9.79,22.41,1.19,0.66,20.56,22.6,0,2.86,19.74,30.55,0,4.51,26.04,98.76,45.35,33.4,20.01,0.77,2.97
"Avenir- North Station, Boston",13,10544.04,2863.41,105.41,8.54,0,96.87,319.81,27.13,73.77,218.91,75.87,2.8,13.58,59.49,319.5,85.19,69.1,165.22,2030.77,1233.71,485.85,311.21,12.05,7680.63,1258.11,38.19,214.4,1005.53,611.56,21.26,40.53,549.76,739.74,20.32,127.12,592.29,1231.88,116.28,528.95,586.65,3569.78,1619.51,1404.19,546.07,96.77,172.79,10472.78,3022.04,119.59,0,0,119.59,99.98,0,8.6,91.38,118.62,14.45,18.73,85.44,387.55,83.44,92.34,211.77,2262.99,1413.34,500.35,349.3,33.32,7450.74,944.61,16.59,231.63,696.39,428.96,32.04,7.07,389.84,442.93,9.55,31.73,401.64,1042.61,27.32,187.79,827.5,4332.85,2083.16,1602.09,647.6,184.65,74.15
"Bartlett Yard- Dudley Station, Roxbury",8,5248.48,1079.72,91.13,20.32,0,70.81,123.27,12.43,35.83,75.02,155.12,29.45,10.13,115.54,152.47,31.35,24.62,96.5,552.07,273.38,181.8,96.89,5.66,4168.76,1771.15,81.24,295.78,1394.13,827.77,100.08,141.16,586.53,466.6,69.4,142.98,254.22,481.99,120.73,186.96,174.29,444.81,203.53,168.97,72.31,163.12,13.32,5705.21,1487.07,99.26,0,0,99.26,128.76,16.0,4.91,107.85,109.99,41.43,3.04,65.52,224.67,58.29,24.9,141.49,900.64,478.18,290.41,132.05,23.75,4218.14,1618.39,99.75,207.59,1311.05,687.38,109.01,100.47,477.9,655.87,101.17,154.3,400.4,417.88,80.36,172.41,165.11,503.74,279.07,160.26,64.4,270.29,64.6
"Fenway Center Project- Yawkey Station, Boston",10,4423.35,881.56,76.88,23.24,1.94,51.7,70.62,0,2.06,68.55,43.02,1.33,17.54,24.15,155.32,15.7,32.16,107.46,529.68,335.69,107.19,86.8,6.04,3541.79,996.18,54.33,115.15,826.7,475.34,9.07,38.38,427.9,308.39,11.29,0,297.1,442.19,34.53,157.93,249.73,934.63,337.16,413.24,184.23,326.93,58.12,4328.63,739.19,47.57,0,0,47.57,51.17,2.6,1.94,46.63,49.61,0,0,49.61,76.02,23.16,0,52.87,503.18,315.46,96.02,91.7,11.63,3589.44,811.64,15.93,122.76,672.96,399.06,13.5,18.09,367.46,312.51,15.07,13.85,283.59,442.92,25.4,73.98,343.54,1242.98,572.48,472.56,197.94,264.16,116.17
"Hingham Intermodal Center, Hingham",2,408.85,320.54,19.56,0,0,19.56,24.8,0.67,2.18,21.95,20.03,2.96,9.09,7.98,38.23,16.39,8.05,13.79,215.32,137.74,41.86,35.71,2.6,88.3,9.24,0,1.68,7.56,13.5,1.66,4.58,7.26,8.66,0,0,8.66,19.49,1.56,2.57,15.36,27.1,16.41,4.14,6.55,0,10.33,436.77,334.12,16.94,0,0,16.94,17.96,1.1,0,16.86,15.32,1.99,4.85,8.48,25.86,5.32,6.19,14.34,257.62,162.98,64.9,29.73,0.43,102.65,7.01,0,0,7.01,11.02,0,0,11.02,20.16,0,0,20.16,19.55,1.14,11.06,7.34,39.13,22.66,12.3,4.16,0,5.78
"Nashua St. Residences- North Station, Boston",13,10578.44,2899.31,107.01,8.54,0.69,97.78,320.84,27.13,74.71,218.99,77.18,2.97,13.25,60.96,323.42,87.25,71.76,164.4,2057.96,1247.93,491.07,318.96,12.91,7679.14,1245.74,32.6,209.37,1003.77,608.21,20.78,40.79,546.64,739.49,19.95,126.69,592.84,1225.81,115.46,527.66,582.69,3587.29,1631.38,1411.59,544.33,96.77,175.84,10503.28,3058.74,121.32,0,0,121.32,103.67,0.69,8.6,94.39,119.46,14.45,19.25,85.76,396.6,84.65,94.4,217.54,2284.37,1428.7,503.42,352.26,33.32,7444.54,928.84,15.12,223.38,690.34,425.39,29.08,6.26,390.05,438.67,9.0,31.47,398.2,1044.64,26.62,187.27,830.75,4347.49,2080.01,1611.73,655.75,182.46,77.05
"New Balance Boston Landing Station, Allston/Brighton",4,917.7,277.39,19.36,0,0,19.36,65.34,22.36,13.75,29.23,15.22,0,2.11,13.12,65.06,22.08,28.0,14.98,112.41,75.86,22.71,13.84,0,640.31,110.87,2.01,4.45,104.4,108.9,1.36,7.75,99.78,60.98,0.03,15.09,45.86,114.31,0.12,59.95,54.23,201.06,101.96,80.27,18.83,33.48,10.71,1093.6,341.66,12.5,0,0,12.5,37.49,10.0,1.98,25.51,38.7,1.16,10.23,27.31,42.79,17.53,16.99,8.27,200.38,127.59,22.8,49.99,9.8,751.95,68.86,20.57,0.02,48.27,43.38,8.11,8.14,27.14,75.59,0,10.25,65.34,125.29,8.47,11.78,105.04,409.5,207.18,153.59,48.73,10.49,18.83
